city,hotel_name,address,rating,review_count,price
Mumbai,Super Collection O Asalpha near International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",4.2,1309,₹1652
Mumbai,Hotel O Royal Inn,"Ulhasnagar, Mumbai",,,₹1070
Mumbai,Hotel O Shiv Vandana Inn,"near 3 petrol pump, Mumbai",3.8,94,₹1859
Mumbai,Hotel O Blue Ocean Near R City Mall,"kailash industrial complex, near kailash business park, vikhroli west, Mumbai",4.2,119,₹1768
Mumbai,Collection O IIM Mumbai Formerly Green View,"Powai, Mumbai",,,₹1309
Mumbai,Hotel O SHUBHAM LODGING & BOARDING Shahad Railway Station,"ulhasnagar Nagar, Mumbai",3,1,₹1187
Mumbai,Super Hotel O Sunrise Suites,"Mumbai- , Mumbai",4.2,64,₹2536
Mumbai,Super Collection O Thane Formerly Dove Residency,"Bhayander Pada Thane, Mumbai",4.4,1282,₹1674
Mumbai,Super Hotel O Solitaire,"Vashi, Mumbai",4.3,310,₹1510
Mumbai,Hotel O Lotus Residency Near Anand Nagar Metro Station,"Near Dahisar Toll Plaza, Mira Bhayandar, Mumbai",3.3,393,₹1256
Mumbai,Hotel O Didar House,"Maharashtra, Mumbai",4,89,₹1157
Pune,Collection O MIDC Pimpari Pune Formerly SK Palace,"Pimpri MIDC, Pune",4.5,35,₹843
Pune,Super Hotel O Khadakwasla Lakeview Formerly Gokul Lodge,"Near Hindon Airport, Bhopura Defence Colony Post office",4.5,8,₹533
Pune,Collection O Laxmi Chowk Hinjewadi,"Hinjewadi Phase 1, Pune",4.5,346,₹612
Pune,Collection O Uptown Hinjewadi,"Hinjawadi Phase, Pune",4.5,644,₹675
Pune,Super Hotel O Manjari Road,"Hadapsar, Pune",4.5,1997,₹751
Pune,Super Collection O Hinjewadi Phase 1 Formerly Mars Venture,"Hinjewadi, Pune",4.1,657,₹750
Pune,Super Hotel O Laxmi Chowk Hinjewadi,"Hinjewadi, Pune",4.1,917,₹875
Pune,Super Townhouse Hinjewadi Corporate Stays,"Hinjewadi Phase 1, Pune",4.6,986,₹764
Pune,Super Townhouse Lohegaon Near Pune Airport Formerly Landmark Regency,"Lohegaon, Pune",4.7,1107,₹944
Pune,Townhouse Chakan MIDC Pune Formerly Renuka Executive,"Near Rajgurunagar Bank, Talegaon-Chakan Rd, Pune",4.5,365,₹935
Pune,Super Townhouse Amanora Park Town Formerly Samrat Inn,"Amanora-Hadapsar, Pune",4.6,1011,₹1152
Pune,Super Collection O Ubale Nagar,"Near Mahalaxmi Laws, shiv sagar veg restaurant,Renault services,lane no-18 Ubale Nagar",4.5,634,₹1034
Pune,Super Hotel O Talegaon MIDC Formerly Goodluck Lodge,"Near Gestamp Company, Takwe Bk, Pune",4.5,11,₹698
Pune,Townhouse OAK Gharonda Residency Near Sant Tukaram Nagar Metro Station,"Pimpri Chinchwad, Pune",4.4,532,₹1677
Pune,"Palette Hotel Pune, MIDC Chinchwad","Pimpri-Chinchwad, Pune",4.5,2,₹2032
Pune,Palette Magarpatta City Formerly Emerald Guestimony,"Magarpatta City, Pune",4.4,344,₹1950
Pune,Hotel O Western Avenue Pune Formerly Happy Stay,"Thergaon, Pune",4.4,143,₹1694
Pune,Collection O Magarpatta City Formerly Ekab Hospitality,"The Cosmopolis, next to amanora town, opposite seasons mall, Magarpatta, Hadapsar",4.4,7,₹855
Pune,Super Collection O Manjari - Mundhwa Road Formerly 7 Treats,"Z Corner Beside G-mall, Manjari",4.5,867,₹695
Pune,Super Townhouse Viman Nagar Business Stay Formerly Silver Crest,"Near Town square Mall, Airport Road, Pune",4.5,131,₹1741
Pune,Townhouse Oak Viman Nagar Formerly Kuber Inn,"Viman Nagar, Pune",4.4,935,₹1854
Pune,Super Townhouse Oak Pune Railway Station Formerly Kapil Residency,"Near Pune Railway Station, Pune",4,284,₹1159
Pune,Hotel O Hinjewadi Kirti Classic Gate,"Hinjewadi, Pune",4.5,355,₹593
Pune,Super Collection O Alandi Bus Stand Pune Formerly Kaveri Executive Lodging,"Alandi, Pune",4.5,36,₹692
Pune,Super Collection O Aundh formerly MV Galaxy,"Aundh, Pune",4.3,779,₹1103
Pune,Super Townhouse Oak Prabhat Road,"FP No 42B, CTS 114B, Erandwane, Shivaji Nagar Prabhat Road",4.5,789,₹2441
Pune,Super Townhouse Oak Sinhgad Road Crossway Formerly Popular Hotel,"Parinay Complex, Sinhagad Road, Pune",4.4,178,₹1215
Pune,Townhouse Oak Gravity Inn,"Baner, Pune",3.7,90,₹1529
Pune,Townhouse Oak JM Road Formerly Krishna presidency,"Near Shivaji Nagar, Pune",3.6,412,₹1681
Pune,Collection O Balewadi formerly Woods Regency,"Balewadi, Pune",4.5,284,₹878
Pune,Super Townhouse Pimple Nilakh Pune,"Ulhasnagar 3, Pune",4.4,436,₹757
Pune,Super Collection O Pune Nagar Road Viman Nagar Formerly Ananta Sagar,"Near Phoenix Mall, Pune",4.6,312,₹2319
Pune,Hotel O Sai inn 2,"Hinjewadi, Pune",4.4,638,₹636
Pune,Super Townhouse Ambegaon Road Katraj Formerly White Castle,"Katraj, Pune",4.5,1951,₹959
Pune,Collection O Blue Ridge Hinjewadi,"Hinjewadi, Pune",4.5,155,₹857
Pune,Hotel O  Pioneer 2,"Hinjewadi Phase -1, Pune",4.4,43,₹615
Pune,Super Collection O Katraj Bus Stop Formerly Indu Ville,"Budruk, Pune",4.5,528,₹885
Pune,Super Townhouse Oak Hadapsar,"Near South Indian Bank, Hadapsar, Pune",4.4,797,₹1056
Pune,Townhouse Balewadi Stadium Pune Formerly Hotel Sarovar,"Mahalunge - Balewadi Metro Station, Pune",4.5,162,₹928
Pune,Hotel O R K Hotel,"Near Gurudwara Chowk, Walekerwadi Main Road, Pune",4,398,₹816
Pune,Super Collection O Baner Hillview Pune Formerly Siri Lodge,"Baner, Pune",4.4,136,₹1156
Pune,Collection O Veerbhadra Nagar Baner,"Veerbhadra Nagar- Baner, Pune",4.6,287,₹1250
Pune,Super Townhouse Hadapsar Formerly Savali Inn,"Hadapsar, Pune",4.5,584,₹1315
Pune,Super Hotel O Pioneer,"Dange Chowk, Pune",4.3,710,₹939
Pune,Hotel O Aru Sai,"Hadapsar, Pune",3.9,1108,₹769
Pune,Super Townhouse Somani TC,"Near JSPM Collage, Tathawade, Pune",4.5,1222,₹1274
Pune,Hotel O Kamini,"Chinchwad, Pune",4.2,1226,₹947
Pune,Super Collection O Talwade Corpoarte Homestay,"Pimpri Chinchwad, Pune",4.8,83,₹1095
Pune,Townhouse Alpha,"Beside Xion Mall, Near D-Mart , Hinjewadi-Wakad Road, Pune",4.6,1038,₹1033
Pune,Super Collection O Baner Formerly Seven Hills,"Near Bio-Diversity Park, Pune",4.6,408,₹1326
Pune,Hotel O Arusai Inn,"Dange Chowk Datta Mandir Road, Pune",4.1,514,₹1012
Pune,Super Hotel O KP Pride,"Chikhli , Pune",4.5,582,₹916
Pune,Super Collection O Warje Pune Formerly Choice Guest house,"NDA Road, Pune",4.1,54,₹1326
Pune,Hotel O Span Executive,"Near Maruti Mandir, Revenue Colony, Pune",3.3,612,₹1423
Pune,Super Hotel O Pune Kasarwadi Railway Station,"Pimpri-Chinchwad, Pune",4.5,202,₹1118
Pune,[Day Stay - 12 Hrs Slot: 8 AM to 8 PM] Collection O Chakan MIDC Pune,"Talegaon-Chakan Road, Pune",,,₹775
Pune,Collection O Rajdhani Hotel,"Near SBI, Somwar Peth, Pune",4.6,203,₹1417
Pune,Super Collection O Katraj Near KK Market,"Dhankawadi Katraj, Pune",4.2,717,₹1226
Pune,Hotel O Homes Vardhan House 2,"Baner road, Pune",4.6,231,₹1360
Pune,Super Collection O Grey House,"Pune, Pune",4.5,235,₹1355
Kolkata,Collection O NSCB International Airport Formerly Raj Guest House,"Kolkata International Airport  Gate no 2, Beside Phoenix Hospital & Diagnostics  11 Nirmal Sengupta Sarani Kolkata West Bengal",4.6,130,₹645
Kolkata,Hotel O Beleghata Formerly Santoshi Banquet And Marriage Hall,"Dr. Suresh Chandra Banerjee Road, Kolkata",4.7,613,₹902
Kolkata,Super Collection O Jyotirindra Nandi Metro Station Kolkata Formerly Hotel Manurama,"Santoshpur, Kolkata",4.6,108,₹769
Kolkata,Super Collection O Tollygunge Metro Station Kolkata Formerly Mahamaya Step Inn,"Paschim Putiary, Kolkata",4.6,30,₹739
Kolkata,Super Hotel O Kolkata Near Acropolis Mall Formerly 7 Horse GH,"E.K.T, Kolkata",4.8,1196,₹1157
Kolkata,Hotel O Swami Vivekananda University Kolkata,"Parganas, Kolkata",4.6,37,₹561
Kolkata,Super Hotel O Hiland Park Formerly Ayush Villa,"Sonali Park, Kolkata",4.9,1237,₹805
Kolkata,Super Townhouse VIP Road Formerly The Sky,"Near Rani Tower, Tegharia, Kolkata",4.7,2178,₹1039
